regime,model_a,model_b,n_observations,loss,mean_loss_a,mean_loss_b,mean_differential,dm_statistic,p_value,lags,favoured,significant
Calm Bull,"GARCH(1,1)","EGARCH(1,1)",285,qlike,1.5003405328951454,1.4126820389758916,0.08765849391925372,2.330868333775489,0.02046035802426016,5,"EGARCH(1,1)",True
Calm Bull,"GARCH(1,1)","GJR-GARCH(1,1,1)",285,qlike,1.5003405328951454,1.4419807130686397,0.05835981982650562,1.948639585971583,0.05232310638408677,5,"GJR-GARCH(1,1,1)",False
Calm Bull,"GARCH(1,1)",LSTM (QLIKE),285,qlike,1.5003405328951454,1.3691640252907957,0.13117650760434957,3.962003710699666,9.406475640405532e-05,5,LSTM (QLIKE),True
Calm Bull,"GARCH(1,1)",LSTM (MSE),285,qlike,1.5003405328951454,1.4209569297030875,0.07938360319205776,1.4408999999635608,0.1507145331415105,5,LSTM (MSE),False
Calm Bull,"EGARCH(1,1)","GJR-GARCH(1,1,1)",285,qlike,1.4126820389758916,1.4419807130686397,-0.02929867409274811,-2.1895132917257105,0.02937320628062312,5,"EGARCH(1,1)",True
Calm Bull,"EGARCH(1,1)",LSTM (QLIKE),285,qlike,1.4126820389758916,1.3691640252907957,0.04351801368509583,1.3235311438467199,0.18672324687963782,5,LSTM (QLIKE),False
Calm Bull,"EGARCH(1,1)",LSTM (MSE),285,qlike,1.4126820389758916,1.4209569297030875,-0.008274890727195986,-0.16790193761645336,0.8667799273946521,5,"EGARCH(1,1)",False
Calm Bull,"GJR-GARCH(1,1,1)",LSTM (QLIKE),285,qlike,1.4419807130686397,1.3691640252907957,0.07281668777784395,2.200774712567114,0.028556763701789167,5,LSTM (QLIKE),True
Calm Bull,"GJR-GARCH(1,1,1)",LSTM (MSE),285,qlike,1.4419807130686397,1.4209569297030875,0.02102378336555212,0.4313137750812068,0.6665674490951441,5,LSTM (MSE),False
Calm Bull,LSTM (QLIKE),LSTM (MSE),285,qlike,1.3691640252907957,1.4209569297030875,-0.05179290441229181,-1.2164659711856238,0.22481749261338702,5,LSTM (QLIKE),False
COVID Crash,"GARCH(1,1)","EGARCH(1,1)",50,qlike,1.5495838999248206,1.6351416579620746,-0.08555775803725382,-0.6054598338328815,0.5476677176775164,3,"GARCH(1,1)",False
COVID Crash,"GARCH(1,1)","GJR-GARCH(1,1,1)",50,qlike,1.5495838999248206,1.3722638065402588,0.1773200933845619,1.997304533059324,0.051360773794444814,3,"GJR-GARCH(1,1,1)",False
COVID Crash,"GARCH(1,1)",LSTM (QLIKE),50,qlike,1.5495838999248206,7.072063282882952,-5.52247938295813,-2.8523776506195127,0.006337616002797475,3,"GARCH(1,1)",True
COVID Crash,"GARCH(1,1)",LSTM (MSE),50,qlike,1.5495838999248206,8.116342676064695,-6.5667587761398725,-2.9674412280119467,0.0046339674595983205,3,"GARCH(1,1)",True
COVID Crash,"EGARCH(1,1)","GJR-GARCH(1,1,1)",50,qlike,1.6351416579620746,1.3722638065402588,0.26287785142181574,2.519478901305084,0.015063594061737628,3,"GJR-GARCH(1,1,1)",True
COVID Crash,"EGARCH(1,1)",LSTM (QLIKE),50,qlike,1.6351416579620746,7.072063282882952,-5.436921624920878,-2.9265933732436036,0.005182773281540376,3,"EGARCH(1,1)",True
COVID Crash,"EGARCH(1,1)",LSTM (MSE),50,qlike,1.6351416579620746,8.116342676064695,-6.48120101810262,-3.0337435556080776,0.003857229211853719,3,"EGARCH(1,1)",True
COVID Crash,"GJR-GARCH(1,1,1)",LSTM (QLIKE),50,qlike,1.3722638065402588,7.072063282882952,-5.699799476342695,-2.961302919245176,0.0047128228226200886,3,"GJR-GARCH(1,1,1)",True
COVID Crash,"GJR-GARCH(1,1,1)",LSTM (MSE),50,qlike,1.3722638065402588,8.116342676064695,-6.744078869524437,-3.059248293791294,0.003592305795695472,3,"GJR-GARCH(1,1,1)",True
COVID Crash,LSTM (QLIKE),LSTM (MSE),50,qlike,7.072063282882952,8.116342676064695,-1.0442793931817436,-3.2961563075102034,0.0018276229856764026,3,LSTM (QLIKE),True
Recovery Rally,"GARCH(1,1)","EGARCH(1,1)",422,qlike,1.385207679025199,1.471824851258364,-0.08661717223316492,-0.9778845064671525,0.32869302508802134,5,"GARCH(1,1)",False
Recovery Rally,"GARCH(1,1)","GJR-GARCH(1,1,1)",422,qlike,1.385207679025199,1.4502354293321078,-0.06502775030690848,-0.9611727229355232,0.33701703552014517,5,"GARCH(1,1)",False
Recovery Rally,"GARCH(1,1)",LSTM (QLIKE),422,qlike,1.385207679025199,1.4709521710329052,-0.0857444920077062,-0.6849359814911867,0.49376123641851555,5,"GARCH(1,1)",False
Recovery Rally,"GARCH(1,1)",LSTM (MSE),422,qlike,1.385207679025199,1.4680046069221453,-0.08279692789694605,-0.6317418071641686,0.5278984834161786,5,"GARCH(1,1)",False
Recovery Rally,"EGARCH(1,1)","GJR-GARCH(1,1,1)",422,qlike,1.471824851258364,1.4502354293321078,0.02158942192625642,0.6783875813238731,0.49789868708408314,5,"GJR-GARCH(1,1,1)",False
Recovery Rally,"EGARCH(1,1)",LSTM (QLIKE),422,qlike,1.471824851258364,1.4709521710329052,0.0008726802254587465,0.01657534373506987,0.9867832468954791,5,LSTM (QLIKE),False
Recovery Rally,"EGARCH(1,1)",LSTM (MSE),422,qlike,1.471824851258364,1.4680046069221453,0.0038202443362188644,0.05407857071480896,0.956898217678861,5,LSTM (MSE),False
Recovery Rally,"GJR-GARCH(1,1,1)",LSTM (QLIKE),422,qlike,1.4502354293321078,1.4709521710329052,-0.02071674170079769,-0.27608169653821685,0.7826207903914324,5,"GJR-GARCH(1,1,1)",False
Recovery Rally,"GJR-GARCH(1,1,1)",LSTM (MSE),422,qlike,1.4502354293321078,1.4680046069221453,-0.017769177590037547,-0.1915164052634656,0.8482133605384594,5,"GJR-GARCH(1,1,1)",False
Recovery Rally,LSTM (QLIKE),LSTM (MSE),422,qlike,1.4709521710329052,1.4680046069221453,0.0029475641107601265,0.08206303553069688,0.9346355876368464,5,LSTM (MSE),False
Rate-Hike Cycle,"GARCH(1,1)","EGARCH(1,1)",251,qlike,1.4110162259096537,1.3893223300043194,0.02169389590533428,0.7606349232078701,0.44759194660648793,4,"EGARCH(1,1)",False
Rate-Hike Cycle,"GARCH(1,1)","GJR-GARCH(1,1,1)",251,qlike,1.4110162259096537,1.4295975427150027,-0.018581316805349222,-0.641565591576047,0.5217430471401756,4,"GARCH(1,1)",False
Rate-Hike Cycle,"GARCH(1,1)",LSTM (QLIKE),251,qlike,1.4110162259096537,1.3064113288174666,0.1046048970921871,3.7301296634943304,0.00023684878400676013,4,LSTM (QLIKE),True
Rate-Hike Cycle,"GARCH(1,1)",LSTM (MSE),251,qlike,1.4110162259096537,1.3640366599385703,0.046979565971083555,1.3161972489452516,0.1893133491360326,4,LSTM (MSE),False
Rate-Hike Cycle,"EGARCH(1,1)","GJR-GARCH(1,1,1)",251,qlike,1.3893223300043194,1.4295975427150027,-0.0402752127106835,-2.52867421365295,0.012065615964792276,4,"EGARCH(1,1)",True
Rate-Hike Cycle,"EGARCH(1,1)",LSTM (QLIKE),251,qlike,1.3893223300043194,1.3064113288174666,0.08291100118685281,3.2528807589400777,0.0012998082279138679,4,LSTM (QLIKE),True
Rate-Hike Cycle,"EGARCH(1,1)",LSTM (MSE),251,qlike,1.3893223300043194,1.3640366599385703,0.025285670065749263,0.7099993647881014,0.4783662545287375,4,LSTM (MSE),False
Rate-Hike Cycle,"GJR-GARCH(1,1,1)",LSTM (QLIKE),251,qlike,1.4295975427150027,1.3064113288174666,0.12318621389753633,3.578985342729376,0.0004142206165975715,4,LSTM (QLIKE),True
Rate-Hike Cycle,"GJR-GARCH(1,1,1)",LSTM (MSE),251,qlike,1.4295975427150027,1.3640366599385703,0.06556088277643275,1.4520492306663801,0.14774173691212278,4,LSTM (MSE),False
Rate-Hike Cycle,LSTM (QLIKE),LSTM (MSE),251,qlike,1.3064113288174666,1.3640366599385703,-0.05762533112110355,-2.6254010260938245,0.009188234789400784,4,LSTM (QLIKE),True
Post-Hike Normalisation,"GARCH(1,1)","EGARCH(1,1)",752,qlike,1.567387026044181,1.510158195065603,0.05722883097857835,4.140778138258799,3.853978536216829e-05,6,"EGARCH(1,1)",True
Post-Hike Normalisation,"GARCH(1,1)","GJR-GARCH(1,1,1)",752,qlike,1.567387026044181,1.522343197551564,0.0450438284926167,3.5405086591781174,0.00042397083427037074,6,"GJR-GARCH(1,1,1)",True
Post-Hike Normalisation,"GARCH(1,1)",LSTM (QLIKE),752,qlike,1.567387026044181,1.5994901589413135,-0.03210313289713254,-0.48197228275508736,0.629966061994883,6,"GARCH(1,1)",False
Post-Hike Normalisation,"GARCH(1,1)",LSTM (MSE),752,qlike,1.567387026044181,1.5890565990427572,-0.021669572998576307,-0.37452079013291495,0.7081226181615747,6,"GARCH(1,1)",False
