model_a,model_b,loss,n_observations,mean_loss_a,mean_loss_b,mean_differential,dm_statistic,p_value,lags,favoured,significant
"GARCH(1,1)","EGARCH(1,1)",mse,1760,27.906332134882327,28.710614968307237,-0.8042828334249154,-0.3115978683440331,0.7553830807238056,7,"GARCH(1,1)",False
"GARCH(1,1)","GJR-GARCH(1,1,1)",mse,1760,27.906332134882327,28.71545847990577,-0.809126345023454,-0.35888542853223543,0.719723871727874,7,"GARCH(1,1)",False
"GARCH(1,1)",LSTM (QLIKE),mse,1760,27.906332134882327,37.56165230751236,-9.655320172630034,-1.1190729302553233,0.2632618186328548,7,"GARCH(1,1)",False
"GARCH(1,1)",LSTM (MSE),mse,1760,27.906332134882327,37.76522594339205,-9.858893808509723,-1.122122101838295,0.26196367618585015,7,"GARCH(1,1)",False
"EGARCH(1,1)","GJR-GARCH(1,1,1)",mse,1760,28.710614968307237,28.71545847990577,-0.004843511598539072,-0.0015080261520830506,0.9987969406706809,7,"EGARCH(1,1)",False
"EGARCH(1,1)",LSTM (QLIKE),mse,1760,28.710614968307237,37.56165230751236,-8.85103733920512,-1.3449584831673564,0.178812021759863,7,"EGARCH(1,1)",False
"EGARCH(1,1)",LSTM (MSE),mse,1760,28.710614968307237,37.76522594339205,-9.05461097508481,-1.3445133817848758,0.17895578415841262,7,"EGARCH(1,1)",False
"GJR-GARCH(1,1,1)",LSTM (QLIKE),mse,1760,28.71545847990577,37.56165230751236,-8.846193827606578,-1.1053665439474722,0.26915195867127495,7,"GJR-GARCH(1,1,1)",False
"GJR-GARCH(1,1,1)",LSTM (MSE),mse,1760,28.71545847990577,37.76522594339205,-9.049767463486273,-1.110555541704311,0.2669114929253191,7,"GJR-GARCH(1,1,1)",False
LSTM (QLIKE),LSTM (MSE),mse,1760,37.56165230751236,37.76522594339205,-0.2035736358796903,-1.046354604600064,0.2955411035988107,7,LSTM (QLIKE),False
