model_a,model_b,loss,n_observations,mean_loss_a,mean_loss_b,mean_differential,dm_statistic,p_value,lags,favoured,significant
"GARCH(1,1)","EGARCH(1,1)",qlike,1760,1.4900420475616696,1.4715002379304998,0.0185418096311698,0.753721540420684,0.45111732077644007,7,"EGARCH(1,1)",False
"GARCH(1,1)","GJR-GARCH(1,1,1)",qlike,1760,1.4900420475616696,1.4745500639261173,0.015491983635552225,0.7971011807542242,0.4254998485749064,7,"GJR-GARCH(1,1,1)",False
"GARCH(1,1)",LSTM (QLIKE),qlike,1760,1.4900420475616696,1.6450469151050922,-0.15500486754342252,-1.5974044765580868,0.11035518808118239,7,"GARCH(1,1)",False
"GARCH(1,1)",LSTM (MSE),qlike,1760,1.4900420475616696,1.6861542994400534,-0.19611225187838408,-1.7862767430244737,0.07422664980528904,7,"GARCH(1,1)",False
"EGARCH(1,1)","GJR-GARCH(1,1,1)",qlike,1760,1.4715002379304998,1.4745500639261173,-0.0030498259956175753,-0.30185980046784994,0.7627946255413249,7,"EGARCH(1,1)",False
"EGARCH(1,1)",LSTM (QLIKE),qlike,1760,1.4715002379304998,1.6450469151050922,-0.17354667717459232,-1.909113488732451,0.0564100206040139,7,"EGARCH(1,1)",False
"EGARCH(1,1)",LSTM (MSE),qlike,1760,1.4715002379304998,1.6861542994400534,-0.21465406150955385,-2.0596747420414667,0.03957650131713075,7,"EGARCH(1,1)",True
"GJR-GARCH(1,1,1)",LSTM (QLIKE),qlike,1760,1.4745500639261173,1.6450469151050922,-0.17049685117897476,-1.782998566640878,0.07475893516674903,7,"GJR-GARCH(1,1,1)",False
"GJR-GARCH(1,1,1)",LSTM (MSE),qlike,1760,1.4745500639261173,1.6861542994400534,-0.21160423551393626,-1.9431739075358303,0.05215449414812601,7,"GJR-GARCH(1,1,1)",False
LSTM (QLIKE),LSTM (MSE),qlike,1760,1.6450469151050922,1.6861542994400534,-0.041107384334961534,-1.5268592576905506,0.1269757946030332,7,LSTM (QLIKE),False
