hidden_size,num_layers,dropout,learning_rate,sequence_length,batch_size,weight_decay,qlike_mean,qlike_worst,qlike_spread,mz_slope_mean,best_epoch_mean
32,1,0.2,0.001,10,32,0.0,1.7573019483817327,1.7702433376355426,0.025882778507620108,1.1196716247358884,15.5
32,1,0.1,0.0005,10,64,0.0001,1.7714289337128843,1.8131612355604383,0.08346460369510789,1.1782558978261948,48.5
24,1,0.2,0.001,10,32,0.0,1.8968151456259417,1.9491942275267975,0.10475816380171188,1.0627653262018604,27.5
64,1,0.1,0.003,21,32,1e-05,1.904555654535983,2.036768847017284,0.2644263849626014,0.8164714981719898,13.0
8,1,0.3,0.0003,21,128,0.0,1.9680770514658241,1.9933663143590525,0.05057852578645661,1.3776624597358733,211.5
24,1,0.3,0.002,21,64,0.0001,1.9939719401154403,2.0384319573789202,0.08892003452695985,1.1726410203751183,14.5
48,1,0.1,0.002,42,32,0.0001,2.1108891768313525,2.2564611454730943,0.29114393728348387,1.075991645645904,14.5
16,1,0.2,0.0003,42,32,0.0,2.1492179081297547,2.1707672668124878,0.04309871736546622,1.2541566724656508,71.0
32,1,0.3,0.0003,42,32,0.0001,2.172086997967053,2.2467748800979743,0.14937576426184185,1.0916259069584346,69.5
8,2,0.1,0.002,10,32,1e-05,2.1747913148987186,2.1981777807886993,0.046772931779961446,0.7421638528932861,28.0
64,1,0.1,0.001,42,32,0.0,2.179790540327361,2.479592698481392,0.5996043163080615,1.1349214458552237,14.5
32,1,0.2,0.002,42,128,1e-05,2.1894876409737076,2.3867311197011274,0.3944869574548391,1.081010202633041,28.5
24,1,0.0,0.0003,42,128,0.0001,2.2072991329427563,2.319935424393905,0.22527258290229746,1.6426459940817026,72.5
64,1,0.1,0.001,42,128,0.0,2.2139173352952812,2.348852111298684,0.2698695520068055,1.2614053291715581,21.0
48,2,0.1,0.003,10,32,0.0001,2.2218683979790224,2.2712840344334038,0.09883127290876281,0.8491891085311536,6.0
8,1,0.2,0.002,21,128,1e-05,2.2298871033127092,2.594011138912282,0.7282480711991461,1.135321290567974,77.5
64,1,0.3,0.001,42,64,1e-05,2.2713996625188284,2.3509553946576225,0.15911146427758815,1.3425958192151835,15.5
32,1,0.1,0.001,42,32,0.0,2.288904730819066,2.3331826774446385,0.0885558932511441,1.1785900720528655,29.5
24,1,0.1,0.003,21,128,1e-05,2.2957604722137375,2.4362552304943543,0.2809895165612337,1.0298931331797767,19.5
16,2,0.0,0.003,10,128,0.0,2.301805145204373,2.332467351941326,0.06132441347390616,0.9593789335890003,17.0
48,1,0.0,0.003,21,128,0.0001,2.347803569117578,2.518826614784773,0.34204609133439057,0.8771901176191457,15.0
48,1,0.3,0.001,21,32,1e-05,2.350892559634439,2.44409985598608,0.18641459270328076,0.9827348153231487,19.5
32,2,0.1,0.002,10,64,1e-05,2.383842553465481,2.618575500705763,0.4694658944805643,0.9269927950102528,11.5
8,2,0.3,0.0005,21,32,0.0001,2.400244028050418,2.6511361750822293,0.5017842940636226,0.6209642159367772,124.0
8,2,0.2,0.002,21,64,0.0,2.4122061547882847,2.992715464040765,1.1610186185049607,0.5845968540964284,58.0
24,2,0.1,0.001,10,64,0.0,2.4270974312428724,2.43049067100446,0.006786479523175348,0.7238458005379369,31.5
16,2,0.0,0.001,10,64,1e-05,2.5117797296063373,2.526557381067284,0.029555302921893123,0.9842702506677825,31.5
48,1,0.0,0.001,42,128,0.0001,2.7075323302825454,3.2736201234855704,1.13217558640605,1.178902248219249,43.0
16,2,0.2,0.002,21,128,0.0,2.7607355755920286,2.767533902952897,0.013596654721737433,0.9377554691670863,15.5
24,2,0.0,0.003,21,128,0.0,2.8513014913639254,3.065781919560688,0.428960856393525,0.7411284786341558,14.0
16,2,0.2,0.003,21,32,0.0001,2.866969550515492,2.9154090566812805,0.09687901233157703,0.6264596430394995,25.5
48,1,0.1,0.0003,42,64,0.0,2.887758232562671,3.2386781356232026,0.7018398061210633,1.402438469821568,61.5
8,2,0.2,0.001,21,128,0.0,2.982045692376208,3.0999338494953883,0.23577631423836065,0.528651818218121,136.5
24,2,0.0,0.001,21,128,0.0001,3.097730741221575,3.1140875956358753,0.032713708828600474,0.671361593147955,30.0
48,2,0.0,0.0005,21,64,0.0,3.262233042952504,3.2686602806374947,0.012854475369981522,0.7861115644281,30.5
48,2,0.2,0.001,42,32,0.0001,3.697770143434597,3.9765566803103964,0.5575730737515996,1.1862830076264332,19.0
48,2,0.2,0.0003,42,64,1e-05,3.714351254994594,3.7364409768614135,0.044179443733639356,1.0000133135067322,39.0
32,2,0.0,0.0005,42,128,1e-05,3.7834610179208017,3.8107421260844236,0.054562216327243895,0.718118751053088,52.0
16,2,0.3,0.001,42,32,0.0,4.013125240856587,4.890791968025786,1.7553334543383974,1.9794573326764693,57.0
