model,confidence,n_observations,n_exceptions,expected_exceptions,exception_rate,mean_var,kupiec_lr,kupiec_p,christoffersen_lr,christoffersen_p,cc_lr,cc_p,pass_unconditional,pass_independence,pass_conditional
"GARCH(1,1)",0.95,1760,106,88.0,0.060227272727272727,1.7183499015683237,3.6481623365564246,0.05613111227126103,0.06468215363167928,0.7992430476640666,3.712844490188104,0.15623058640482393,True,True,True
"EGARCH(1,1)",0.95,1760,115,88.0,0.06534090909090909,1.6409044505724568,7.985293028935303,0.004715886174791064,0.04177480223313523,0.8380496422540837,8.027067831168438,0.01806942644550633,False,True,False
"GJR-GARCH(1,1,1)",0.95,1760,113,88.0,0.06420454545454546,1.7056414933063204,6.887207896594305,0.008681476690663792,0.8892827080004508,0.3456717612513558,7.7764906045947555,0.020481252933320163,False,True,False
LSTM (QLIKE),0.95,1760,129,88.0,0.07329545454545454,1.4865787795368661,17.69240507084305,2.59661297073033e-05,0.026470705362157787,0.8707560616878711,17.71887577620521,0.00014203488122443097,False,True,False
LSTM (MSE),0.95,1760,132,88.0,0.075,1.4603104738536672,20.210976041038066,6.9353859509959614e-06,2.7080586211333184,0.09984242968041358,22.919034662171384,1.054860081418232e-05,False,True,False
"GARCH(1,1)",0.99,1760,39,17.6,0.02215909090909091,2.430295057792213,19.525609599718905,9.92599917438419e-06,0.02111874597744645,0.8844559331230579,19.54672834569635,5.694844501417394e-05,False,True,False
"EGARCH(1,1)",0.99,1760,40,17.6,0.022727272727272728,2.3207624785241823,21.167656808667743,4.208063509946279e-06,0.009122367196823689,0.9239088866256499,21.176779175864567,2.5206980749671975e-05,False,True,False
"GJR-GARCH(1,1,1)",0.99,1760,37,17.6,0.021022727272727273,2.4123213134672854,16.400213851867818,5.12794438620999e-05,1.590133981993631,0.20730699257650215,17.99034783386145,0.0001240068295412037,False,True,False
LSTM (QLIKE),0.99,1760,50,17.6,0.028409090909090908,2.1024967369159384,40.21865916599637,2.2706905359384748e-10,0.22297807484164878,0.6367800836434296,40.44163724083802,1.6527609896602515e-09,False,True,False
LSTM (MSE),0.99,1760,60,17.6,0.03409090909090909,2.065344970898908,63.413723964438304,1.67546636635995e-15,0.4198733698963224,0.5170002369816642,63.83359733433463,1.3762915987408276e-14,False,True,False
